Target,Num Features,Balancing Method,Model,F1_macro,Selected Features
BUREAU,7,RandomOverSampler,XGBoost,0.436366890665398,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,RandomOverSampler,KNN,0.39874330050308987,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,RandomOverSampler,SVM,0.27145000016261,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,Logistic Regression,0.28005167634853967,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,Decision Tree,0.4325125938943321,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,Random Forest,0.45742504312310706,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,XGBoost,0.4491173357307011,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,KNN,0.3894245340309627,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,SVM,0.2731435717006441,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,Logistic Regression,0.2779297236912579,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,Decision Tree,0.4179668080801398,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,Random Forest,0.4360831635529279,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,XGBoost,0.43439227610250947,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,KNN,0.3645534632869235,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,SVM,0.2712975190373347,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,Logistic Regression,0.27846062038699726,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,Decision Tree,0.4485638156819542,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,Random Forest,0.4930814275353271,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,XGBoost,0.43750042750651685,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,KNN,0.39553679975064887,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,SVM,0.27167039816980043,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,Logistic Regression,0.28140407043559984,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,Decision Tree,0.4304026828851247,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,Random Forest,0.4641734522784338,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,XGBoost,0.44480547174355667,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,KNN,0.38138709293717776,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,SVM,0.2737577595997791,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,Logistic Regression,0.2782543968695476,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,Decision Tree,0.4174696246429549,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,Random Forest,0.4413082002076235,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,XGBoost,0.43498109771625276,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,KNN,0.3530684126236708,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,SVM,0.27157861419566864,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
